batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced
-1,naive,1,0.936,,,,0.0,0.0,0.0,,0,0
0,naive,1,0.9352,0.9868995547294617,0.89453125,,0.0,0.16434824466705322,0.019546754139400286,0.024285905295982957,0,0
1,naive,1,0.9271,1.0,0.8671875,,0.0,0.1919263631105423,0.014676533197029756,0.009547479683533311,0,0
2,naive,1,0.9235,0.9781420826911926,0.71484375,,0.62109375,0.22778834253549576,0.009775982385649548,0.030600364009539287,0,0
3,naive,1,0.9279,0.9854369163513184,0.8046875,,0.0,0.24969156235456466,0.012694216548104313,0.022338053211569786,0,0
4,naive,1,0.925,0.9911110997200012,0.87890625,,0.62109375,0.26385399997234343,0.013279823202893252,0.030379523988813162,0,0
5,naive,1,0.9173,0.9956331849098206,0.89453125,,0.0,0.2822453022003174,0.012995246035044214,0.01654930878430605,0,0
6,naive,1,0.9247,0.9767441749572754,0.83984375,,0.625,0.281528502702713,0.01549259492860866,0.037965051364153624,0,0
7,naive,1,0.926,0.969298243522644,0.890625,,0.0,0.32459770441055297,0.020559208483663338,0.020027323625981808,0,0
8,naive,1,0.9305,0.9578947424888611,0.7421875,,0.62890625,0.32457917630672456,0.016120867231668362,0.05863246197501818,0,0
9,naive,1,0.903,0.9560975432395935,0.80078125,,0.0,0.36881171762943266,0.026869587924675573,0.028250213246792555,0,0
10,naive,1,0.8705,0.9728506803512573,0.86328125,,0.62890625,0.4089627653360367,0.02016013835466615,0.0263932584784925,0,0
11,naive,1,0.8946,0.9536082744598389,0.7578125,,0.62109375,0.35402436554431915,0.022746175572530444,0.04910184699110687,0,0
12,naive,1,0.913,0.906862735748291,0.796875,,0.62109375,0.33961521089076996,0.025134525523692473,0.08454920910298824,0,0
13,naive,1,0.9142,0.925000011920929,0.78125,,0.625,0.37916973531246184,0.033233680716299105,0.049158399691805243,0,0
14,naive,1,0.9067,0.9626168012619019,0.8359375,,0.625,0.4126477986574173,0.02280638279647551,0.03577083349227905,0,0
15,naive,1,0.9046,0.9776785969734192,0.875,,0.625,0.4058636724948883,0.02337286385947367,0.03529109340161085,0,0
16,naive,1,0.915,0.9560975432395935,0.80078125,,0.625,0.3701979547739029,0.024668858811413393,0.0496220588684082,0,0
17,naive,1,0.9193,0.9907407164573669,0.84375,,0.62109375,0.3529330760240555,0.023444824311900495,0.020126665476709604,0,0
18,naive,1,0.9269,0.936274528503418,0.796875,,0.625,0.34584220349788664,0.020408277613792054,0.04775500390678644,0,0
19,naive,1,0.9313,0.9596412777900696,0.87109375,,0.62890625,0.32607516646385193,0.021133802261384154,0.017616166966035962,0,0
-1,centroid,0,0.928,,,,0.0,0.0,0.0,,0,0
0,centroid,0,0.928,,0.0,0.97265625,0.0,0.1037016436457634,0.0,,0,0
1,centroid,0,0.928,,0.0,0.96875,0.0,0.10887706913053989,0.0,,0,0
2,centroid,0,0.928,,0.0,0.9453125,0.62109375,0.1435409016907215,0.0,,0,0
3,centroid,0,0.928,,0.0,0.9453125,0.0,0.11984319612383842,0.0,,0,0
4,centroid,0,0.928,,0.0,0.97265625,0.62109375,0.11918764598667622,0.0,,0,0
5,centroid,0,0.928,,0.0,0.94140625,0.0,0.13952308259904384,0.0,,0,0
6,centroid,0,0.928,,0.0,0.96484375,0.625,0.12256906144320964,0.0,,0,0
7,centroid,0,0.928,,0.0,0.9609375,0.0,0.13322357460856438,0.0,,0,0
8,centroid,0,0.928,,0.0,0.92578125,0.62890625,0.13658623844385148,0.0,,0,0
9,centroid,0,0.928,,0.0,0.95703125,0.0,0.10692324712872506,0.0,,0,0
10,centroid,0,0.928,,0.0,0.96484375,0.62890625,0.12373253852128982,0.0,,0,0
11,centroid,0,0.928,,0.0,0.97265625,0.62109375,0.11145690605044364,0.0,,0,0
12,centroid,0,0.928,,0.0,0.97265625,0.62109375,0.09283475689589978,0.0,,0,0
13,centroid,0,0.928,,0.0,0.95703125,0.625,0.11129185520112514,0.0,,0,0
14,centroid,0,0.928,,0.0,0.95703125,0.625,0.14836864322423934,0.0,,0,0
15,centroid,0,0.928,,0.0,0.9609375,0.625,0.11613468304276467,0.0,,0,0
16,centroid,0,0.928,,0.0,0.9375,0.625,0.10764641240239144,0.0,,0,0
17,centroid,0,0.928,,0.0,0.953125,0.62109375,0.10953333452343941,0.0,,0,0
18,centroid,0,0.928,,0.0,0.9453125,0.625,0.12890754081308842,0.0,,0,0
19,centroid,0,0.928,,0.0,0.9453125,0.62890625,0.11765477545559407,0.0,,0,0
-1,centroid,1,0.936,,,,0.0,0.0,0.0,,0,0
0,centroid,1,0.936,,0.0,0.98046875,0.0,0.13480806425213815,0.0,,0,0
1,centroid,1,0.936,,0.0,0.984375,0.0,0.10983807109296322,0.0,,0,0
2,centroid,1,0.936,,0.0,0.9453125,0.62109375,0.11941792815923691,0.0,,0,0
3,centroid,1,0.936,,0.0,0.94140625,0.0,0.12705797031521798,0.0,,0,0
4,centroid,1,0.936,,0.0,0.93359375,0.62109375,0.1282851066440344,0.0,,0,0
5,centroid,1,0.936,,0.0,0.96484375,0.0,0.10665756016969681,0.0,,0,0
6,centroid,1,0.936,,0.0,0.97265625,0.625,0.1179981991648674,0.0,,0,0
7,centroid,1,0.936,,0.0,0.96484375,0.0,0.12983187101781368,0.0,,0,0
8,centroid,1,0.936,,0.0,0.96484375,0.62890625,0.11854201927781105,0.0,,0,0
9,centroid,1,0.936,,0.0,0.9296875,0.0,0.10814369544386863,0.0,,0,0
10,centroid,1,0.936,,0.0,0.96875,0.62890625,0.13342175930738448,0.0,,0,0
11,centroid,1,0.936,,0.0,0.96875,0.62109375,0.12233332321047782,0.0,,0,0
12,centroid,1,0.936,,0.0,0.97265625,0.62109375,0.11821290217339993,0.0,,0,0
13,centroid,1,0.936,,0.0,0.9453125,0.625,0.12934149540960788,0.0,,0,0
14,centroid,1,0.936,,0.0,0.953125,0.625,0.11126524657011032,0.0,,0,0
15,centroid,1,0.936,,0.0,0.96484375,0.625,0.11838037371635438,0.0,,0,0
16,centroid,1,0.936,,0.0,0.9765625,0.625,0.09916886687278748,0.0,,0,0
17,centroid,1,0.936,,0.0,0.98046875,0.62109375,0.1231690727174282,0.0,,0,0
18,centroid,1,0.936,,0.0,0.93359375,0.625,0.12013020403683186,0.0,,0,0
19,centroid,1,0.936,,0.0,0.97265625,0.62890625,0.10709990262985229,0.0,,0,0
-1,centroid_ewc,0,0.928,,,,0.0,0.0,0.0,,0,0
0,centroid_ewc,0,0.928,,0.0,0.97265625,0.0,0.1037016436457634,0.0,,0,0
1,centroid_ewc,0,0.928,,0.0,0.96875,0.0,0.10887706913053989,0.0,,0,0
2,centroid_ewc,0,0.928,,0.0,0.9453125,0.62109375,0.1435409016907215,0.0,,0,0
3,centroid_ewc,0,0.928,,0.0,0.9453125,0.0,0.11984319612383842,0.0,,0,0
4,centroid_ewc,0,0.928,,0.0,0.97265625,0.62109375,0.11918764598667622,0.0,,0,0
5,centroid_ewc,0,0.928,,0.0,0.94140625,0.0,0.13952308259904384,0.0,,0,0
6,centroid_ewc,0,0.928,,0.0,0.96484375,0.625,0.12256906144320964,0.0,,0,0
7,centroid_ewc,0,0.928,,0.0,0.9609375,0.0,0.13322357460856438,0.0,,0,0
8,centroid_ewc,0,0.928,,0.0,0.92578125,0.62890625,0.13658623844385148,0.0,,0,0
9,centroid_ewc,0,0.928,,0.0,0.95703125,0.0,0.10692324712872506,0.0,,0,0
10,centroid_ewc,0,0.928,,0.0,0.96484375,0.62890625,0.12373253852128982,0.0,,0,0
11,centroid_ewc,0,0.928,,0.0,0.97265625,0.62109375,0.11145690605044364,0.0,,0,0
12,centroid_ewc,0,0.928,,0.0,0.97265625,0.62109375,0.09283475689589978,0.0,,0,0
13,centroid_ewc,0,0.928,,0.0,0.95703125,0.625,0.11129185520112514,0.0,,0,0
14,centroid_ewc,0,0.928,,0.0,0.95703125,0.625,0.14836864322423934,0.0,,0,0
15,centroid_ewc,0,0.928,,0.0,0.9609375,0.625,0.11613468304276467,0.0,,0,0
16,centroid_ewc,0,0.928,,0.0,0.9375,0.625,0.10764641240239144,0.0,,0,0
17,centroid_ewc,0,0.928,,0.0,0.953125,0.62109375,0.10953333452343941,0.0,,0,0
18,centroid_ewc,0,0.928,,0.0,0.9453125,0.625,0.12890754081308842,0.0,,0,0
19,centroid_ewc,0,0.928,,0.0,0.9453125,0.62890625,0.11765477545559407,0.0,,0,0
-1,centroid_ewc,1,0.936,,,,0.0,0.0,0.0,,0,0
0,centroid_ewc,1,0.936,,0.0,0.98046875,0.0,0.13480806425213815,0.0,,0,0
1,centroid_ewc,1,0.936,,0.0,0.984375,0.0,0.10983807109296322,0.0,,0,0
2,centroid_ewc,1,0.936,,0.0,0.9453125,0.62109375,0.11941792815923691,0.0,,0,0
3,centroid_ewc,1,0.936,,0.0,0.94140625,0.0,0.12705797031521798,0.0,,0,0
4,centroid_ewc,1,0.936,,0.0,0.93359375,0.62109375,0.1282851066440344,0.0,,0,0
5,centroid_ewc,1,0.936,,0.0,0.96484375,0.0,0.10665756016969681,0.0,,0,0
6,centroid_ewc,1,0.936,,0.0,0.97265625,0.625,0.1179981991648674,0.0,,0,0
7,centroid_ewc,1,0.936,,0.0,0.96484375,0.0,0.12983187101781368,0.0,,0,0
8,centroid_ewc,1,0.936,,0.0,0.96484375,0.62890625,0.11854201927781105,0.0,,0,0
9,centroid_ewc,1,0.936,,0.0,0.9296875,0.0,0.10814369544386863,0.0,,0,0
10,centroid_ewc,1,0.936,,0.0,0.96875,0.62890625,0.13342175930738448,0.0,,0,0
11,centroid_ewc,1,0.936,,0.0,0.96875,0.62109375,0.12233332321047782,0.0,,0,0
12,centroid_ewc,1,0.936,,0.0,0.97265625,0.62109375,0.11821290217339993,0.0,,0,0
13,centroid_ewc,1,0.936,,0.0,0.9453125,0.625,0.12934149540960788,0.0,,0,0
14,centroid_ewc,1,0.936,,0.0,0.953125,0.625,0.11126524657011032,0.0,,0,0
15,centroid_ewc,1,0.936,,0.0,0.96484375,0.625,0.11838037371635438,0.0,,0,0
16,centroid_ewc,1,0.936,,0.0,0.9765625,0.625,0.09916886687278748,0.0,,0,0
17,centroid_ewc,1,0.936,,0.0,0.98046875,0.62109375,0.1231690727174282,0.0,,0,0
18,centroid_ewc,1,0.936,,0.0,0.93359375,0.625,0.12013020403683186,0.0,,0,0
19,centroid_ewc,1,0.936,,0.0,0.97265625,0.62890625,0.10709990262985229,0.0,,0,0
-1,centroid_replay,0,0.928,,,,0.0,0.0,0.0,,0,0
0,centroid_replay,0,0.928,,0.0,0.97265625,0.0,0.1037016436457634,0.0,,0,0
1,centroid_replay,0,0.928,,0.0,0.96875,0.0,0.10887706913053989,0.0,,0,0
2,centroid_replay,0,0.928,,0.0,0.9453125,0.62109375,0.1435409016907215,0.0,,0,0
3,centroid_replay,0,0.928,,0.0,0.9453125,0.0,0.11984319612383842,0.0,,0,0
4,centroid_replay,0,0.928,,0.0,0.97265625,0.62109375,0.11918764598667622,0.0,,0,0
5,centroid_replay,0,0.928,,0.0,0.94140625,0.0,0.13952308259904384,0.0,,0,0
6,centroid_replay,0,0.928,,0.0,0.96484375,0.625,0.12256906144320964,0.0,,0,0
7,centroid_replay,0,0.928,,0.0,0.9609375,0.0,0.13322357460856438,0.0,,0,0
8,centroid_replay,0,0.928,,0.0,0.92578125,0.62890625,0.13658623844385148,0.0,,0,0
9,centroid_replay,0,0.928,,0.0,0.95703125,0.0,0.10692324712872506,0.0,,0,0
10,centroid_replay,0,0.928,,0.0,0.96484375,0.62890625,0.12373253852128982,0.0,,0,0
11,centroid_replay,0,0.928,,0.0,0.97265625,0.62109375,0.11145690605044364,0.0,,0,0
12,centroid_replay,0,0.928,,0.0,0.97265625,0.62109375,0.09283475689589978,0.0,,0,0
13,centroid_replay,0,0.928,,0.0,0.95703125,0.625,0.11129185520112514,0.0,,0,0
14,centroid_replay,0,0.928,,0.0,0.95703125,0.625,0.14836864322423934,0.0,,0,0
15,centroid_replay,0,0.928,,0.0,0.9609375,0.625,0.11613468304276467,0.0,,0,0
16,centroid_replay,0,0.928,,0.0,0.9375,0.625,0.10764641240239144,0.0,,0,0
17,centroid_replay,0,0.928,,0.0,0.953125,0.62109375,0.10953333452343941,0.0,,0,0
18,centroid_replay,0,0.928,,0.0,0.9453125,0.625,0.12890754081308842,0.0,,0,0
19,centroid_replay,0,0.928,,0.0,0.9453125,0.62890625,0.11765477545559407,0.0,,0,0
-1,centroid_replay,1,0.936,,,,0.0,0.0,0.0,,0,0
0,centroid_replay,1,0.936,,0.0,0.98046875,0.0,0.13480806425213815,0.0,,0,0
1,centroid_replay,1,0.936,,0.0,0.984375,0.0,0.10983807109296322,0.0,,0,0
2,centroid_replay,1,0.936,,0.0,0.9453125,0.62109375,0.11941792815923691,0.0,,0,0
3,centroid_replay,1,0.936,,0.0,0.94140625,0.0,0.12705797031521798,0.0,,0,0
4,centroid_replay,1,0.936,,0.0,0.93359375,0.62109375,0.1282851066440344,0.0,,0,0
5,centroid_replay,1,0.936,,0.0,0.96484375,0.0,0.10665756016969681,0.0,,0,0
6,centroid_replay,1,0.936,,0.0,0.97265625,0.625,0.1179981991648674,0.0,,0,0
7,centroid_replay,1,0.936,,0.0,0.96484375,0.0,0.12983187101781368,0.0,,0,0
8,centroid_replay,1,0.936,,0.0,0.96484375,0.62890625,0.11854201927781105,0.0,,0,0
9,centroid_replay,1,0.936,,0.0,0.9296875,0.0,0.10814369544386863,0.0,,0,0
10,centroid_replay,1,0.936,,0.0,0.96875,0.62890625,0.13342175930738448,0.0,,0,0
11,centroid_replay,1,0.936,,0.0,0.96875,0.62109375,0.12233332321047782,0.0,,0,0
12,centroid_replay,1,0.936,,0.0,0.97265625,0.62109375,0.11821290217339993,0.0,,0,0
13,centroid_replay,1,0.936,,0.0,0.9453125,0.625,0.12934149540960788,0.0,,0,0
14,centroid_replay,1,0.936,,0.0,0.953125,0.625,0.11126524657011032,0.0,,0,0
15,centroid_replay,1,0.936,,0.0,0.96484375,0.625,0.11838037371635438,0.0,,0,0
16,centroid_replay,1,0.936,,0.0,0.9765625,0.625,0.09916886687278748,0.0,,0,0
17,centroid_replay,1,0.936,,0.0,0.98046875,0.62109375,0.1231690727174282,0.0,,0,0
18,centroid_replay,1,0.936,,0.0,0.93359375,0.625,0.12013020403683186,0.0,,0,0
19,centroid_replay,1,0.936,,0.0,0.97265625,0.62890625,0.10709990262985229,0.0,,0,0
-1,centroid_replay_ewc,0,0.928,,,,0.0,0.0,0.0,,0,0
0,centroid_replay_ewc,0,0.928,,0.0,0.97265625,0.0,0.1037016436457634,0.0,,0,0
1,centroid_replay_ewc,0,0.928,,0.0,0.96875,0.0,0.10887706913053989,0.0,,0,0
2,centroid_replay_ewc,0,0.928,,0.0,0.9453125,0.62109375,0.1435409016907215,0.0,,0,0
3,centroid_replay_ewc,0,0.928,,0.0,0.9453125,0.0,0.11984319612383842,0.0,,0,0
4,centroid_replay_ewc,0,0.928,,0.0,0.97265625,0.62109375,0.11918764598667622,0.0,,0,0
5,centroid_replay_ewc,0,0.928,,0.0,0.94140625,0.0,0.13952308259904384,0.0,,0,0
6,centroid_replay_ewc,0,0.928,,0.0,0.96484375,0.625,0.12256906144320964,0.0,,0,0
7,centroid_replay_ewc,0,0.928,,0.0,0.9609375,0.0,0.13322357460856438,0.0,,0,0
8,centroid_replay_ewc,0,0.928,,0.0,0.92578125,0.62890625,0.13658623844385148,0.0,,0,0
9,centroid_replay_ewc,0,0.928,,0.0,0.95703125,0.0,0.10692324712872506,0.0,,0,0
10,centroid_replay_ewc,0,0.928,,0.0,0.96484375,0.62890625,0.12373253852128982,0.0,,0,0
11,centroid_replay_ewc,0,0.928,,0.0,0.97265625,0.62109375,0.11145690605044364,0.0,,0,0
12,centroid_replay_ewc,0,0.928,,0.0,0.97265625,0.62109375,0.09283475689589978,0.0,,0,0
13,centroid_replay_ewc,0,0.928,,0.0,0.95703125,0.625,0.11129185520112514,0.0,,0,0
14,centroid_replay_ewc,0,0.928,,0.0,0.95703125,0.625,0.14836864322423934,0.0,,0,0
15,centroid_replay_ewc,0,0.928,,0.0,0.9609375,0.625,0.11613468304276467,0.0,,0,0
16,centroid_replay_ewc,0,0.928,,0.0,0.9375,0.625,0.10764641240239144,0.0,,0,0
17,centroid_replay_ewc,0,0.928,,0.0,0.953125,0.62109375,0.10953333452343941,0.0,,0,0
18,centroid_replay_ewc,0,0.928,,0.0,0.9453125,0.625,0.12890754081308842,0.0,,0,0
19,centroid_replay_ewc,0,0.928,,0.0,0.9453125,0.62890625,0.11765477545559407,0.0,,0,0
-1,centroid_replay_ewc,1,0.936,,,,0.0,0.0,0.0,,0,0
0,centroid_replay_ewc,1,0.936,,0.0,0.98046875,0.0,0.13480806425213815,0.0,,0,0
1,centroid_replay_ewc,1,0.936,,0.0,0.984375,0.0,0.10983807109296322,0.0,,0,0
2,centroid_replay_ewc,1,0.936,,0.0,0.9453125,0.62109375,0.11941792815923691,0.0,,0,0
3,centroid_replay_ewc,1,0.936,,0.0,0.94140625,0.0,0.12705797031521798,0.0,,0,0
4,centroid_replay_ewc,1,0.936,,0.0,0.93359375,0.62109375,0.1282851066440344,0.0,,0,0
5,centroid_replay_ewc,1,0.936,,0.0,0.96484375,0.0,0.10665756016969681,0.0,,0,0
6,centroid_replay_ewc,1,0.936,,0.0,0.97265625,0.625,0.1179981991648674,0.0,,0,0
7,centroid_replay_ewc,1,0.936,,0.0,0.96484375,0.0,0.12983187101781368,0.0,,0,0
8,centroid_replay_ewc,1,0.936,,0.0,0.96484375,0.62890625,0.11854201927781105,0.0,,0,0
9,centroid_replay_ewc,1,0.936,,0.0,0.9296875,0.0,0.10814369544386863,0.0,,0,0
10,centroid_replay_ewc,1,0.936,,0.0,0.96875,0.62890625,0.13342175930738448,0.0,,0,0
11,centroid_replay_ewc,1,0.936,,0.0,0.96875,0.62109375,0.12233332321047782,0.0,,0,0
12,centroid_replay_ewc,1,0.936,,0.0,0.97265625,0.62109375,0.11821290217339993,0.0,,0,0
13,centroid_replay_ewc,1,0.936,,0.0,0.9453125,0.625,0.12934149540960788,0.0,,0,0
14,centroid_replay_ewc,1,0.936,,0.0,0.953125,0.625,0.11126524657011032,0.0,,0,0
15,centroid_replay_ewc,1,0.936,,0.0,0.96484375,0.625,0.11838037371635438,0.0,,0,0
16,centroid_replay_ewc,1,0.936,,0.0,0.9765625,0.625,0.09916886687278748,0.0,,0,0
17,centroid_replay_ewc,1,0.936,,0.0,0.98046875,0.62109375,0.1231690727174282,0.0,,0,0
18,centroid_replay_ewc,1,0.936,,0.0,0.93359375,0.625,0.12013020403683186,0.0,,0,0
19,centroid_replay_ewc,1,0.936,,0.0,0.97265625,0.62890625,0.10709990262985229,0.0,,0,0
